,Date,Precip,DOY,YEAR,Watershed_x,Flow_Ls,Flow_cfs,Flow_cmday,MEF_SnowDepth_cm,Max_Temp_F,Min_Temp_F,Precip_in,Snow_in,DNR_SnowDepth_in,Watershed_y,WTE,Flag,Peatland,DepthtoFrost,FrostThickness,FrostPerc,DNR_SnowDepth_cm,FrostThickness_cm,DOWY,WYEAR
65,1995-03-07,0.0,66,1995,S2,0.0,0.0,0.0,,25.0,3.0,0.06,1.5,19.0,S2,421.86,M,,,,,48.26,,157,1995
66,1995-03-08,0.0,67,1995,S2,0.0,0.0,0.0,,25.0,-8.0,,,18.0,S2,421.86,M,,,,,45.72,,158,1995
67,1995-03-09,0.0,68,1995,S2,0.0,0.0,0.0,,23.0,-12.0,0.0,0.0,18.0,S2,421.86,M,,,,,45.72,,159,1995
68,1995-03-10,0.0,69,1995,S2,0.0,0.0,0.0,,25.0,5.0,0.0,0.0,18.0,S2,421.86,M,,,,,45.72,,160,1995
69,1995-03-11,0.0,70,1995,S2,0.0,0.0,0.0,,44.0,21.0,0.0,0.0,,S2,421.88,M,,,,,,,161,1995
70,1995-03-12,0.0,71,1995,S2,0.0,0.0,0.0,,55.0,42.0,0.0,0.0,,S2,421.97,M,,,,,,,162,1995
71,1995-03-13,0.0,72,1995,S2,0.08,0.00283,0.00713,,52.0,45.0,,0.0,8.0,S2,422.05,M,,,,,20.32,,163,1995
72,1995-03-14,0.0,73,1995,S2,0.26,0.00918,0.02316,,51.0,31.0,,0.0,6.0,S2,422.05,M,,,,,15.24,,164,1995
73,1995-03-15,0.0,74,1995,S2,0.34,0.01201,0.03028,,58.0,26.0,0.0,0.0,3.0,S2,422.04,M,,,,,7.62,,165,1995
74,1995-03-16,0.0,75,1995,S2,0.4,0.01413,0.03563,9.933333333333334,58.0,26.0,0.0,0.0,0.0,S2,422.04,M,S2,0.0,5.0,20.0,0.0,12.7,166,1995
75,1995-03-17,0.03,76,1995,S2,0.88,0.03108,0.07838,,53.0,32.0,0.03,0.0,0.0,S2,422.04,M,,,,,0.0,,167,1995
76,1995-03-18,0.1,77,1995,S2,1.23,0.04344,0.10956,,56.0,30.0,0.0,0.0,0.0,S2,422.04,M,,,,,0.0,,168,1995
77,1995-03-19,0.1,78,1995,S2,1.28,0.0452,0.11401,,44.0,31.0,0.0,0.0,0.0,S2,422.04,M,,,,,0.0,,169,1995
78,1995-03-20,0.46,79,1995,S2,1.33,0.04697,0.11847,,44.0,32.0,0.22,0.6,1.0,S2,422.04,M,,,,,2.54,,170,1995
79,1995-03-21,0.13,80,1995,S2,1.29,0.04556,0.1149,,37.0,32.0,,,0.0,S2,422.04,M,,,,,0.0,,171,1995
80,1995-03-22,0.0,81,1995,S2,1.36,0.04803,0.12114,,46.0,23.0,0.0,0.0,0.0,S2,422.04,M,,,,,0.0,,172,1995
81,1995-03-23,0.0,82,1995,S2,1.28,0.0452,0.11401,,50.0,28.0,0.0,0.0,0.0,S2,422.04,M,,,,,0.0,,173,1995
82,1995-03-24,0.0,83,1995,S2,1.07,0.03779,0.09531,,48.0,22.0,0.0,0.0,0.0,S2,422.04,M,,,,,0.0,,174,1995
83,1995-03-25,0.05,84,1995,S2,0.98,0.03461,0.08729,,52.0,28.0,0.0,0.0,0.0,S2,422.03,M,,,,,0.0,,175,1995
84,1995-03-26,0.41,85,1995,S2,1.02,0.03602,0.09085,,38.0,32.0,0.09,0.2,,S2,422.04,M,,,,,,,176,1995
85,1995-03-27,0.0,86,1995,S2,1.04,0.03673,0.09264,,37.0,33.0,0.18,0.1,,S2,422.04,M,,,,,,,177,1995
86,1995-03-28,0.0,87,1995,S2,0.87,0.03072,0.07749,,45.0,26.0,,,0.0,S2,422.03,M,,,,,0.0,,178,1995
87,1995-03-29,0.0,88,1995,S2,0.63,0.02225,0.05612,,50.0,26.0,0.0,0.0,0.0,S2,422.02,M,,,,,0.0,,179,1995
88,1995-03-30,0.0,89,1995,S2,0.54,0.01907,0.0481,,43.0,18.0,0.0,0.0,0.0,S2,422.01,M,,,,,0.0,,180,1995
89,1995-03-31,0.05,90,1995,S2,0.42,0.01483,0.03741,,45.0,23.0,,,,S2,422.01,M,S2,0.0,5.0,40.0,,12.7,181,1995
90,1995-04-01,0.05,91,1995,S2,0.35,0.01236,0.03118,,41.0,28.0,,,,S2,422.0,M,,,,,,,182,1995
91,1995-04-02,0.0,92,1995,S2,0.31,0.01095,0.02761,,42.0,20.0,0.0,0.0,0.0,S2,422.0,M,,,,,0.0,,183,1995
92,1995-04-03,0.28,93,1995,S2,0.28,0.00989,0.02494,,48.0,31.0,,0.0,0.0,S2,422.0,M,,,,,0.0,,184,1995
93,1995-04-04,0.0,94,1995,S2,0.25,0.00883,0.02227,,36.0,-2.0,0.05,0.5,1.0,S2,421.99,M,,,,,2.54,,185,1995
94,1995-04-05,0.58,95,1995,S2,0.19,0.00671,0.01692,,23.0,-1.0,0.0,0.0,,S2,421.99,M,,,,,,,186,1995
95,1995-04-06,0.0,96,1995,S2,0.18,0.00636,0.01603,,28.0,15.0,0.12,1.3,1.0,S2,421.99,M,,,,,2.54,,187,1995
96,1995-04-07,0.0,97,1995,S2,0.18,0.00636,0.01603,,41.0,21.0,0.0,0.0,0.0,S2,422.01,M,S2,0.0,3.0,70.0,0.0,7.62,188,1995
97,1995-04-08,0.0,98,1995,S2,0.16,0.00565,0.01425,,48.0,22.0,0.0,0.0,0.0,S2,422.01,M,,,,,0.0,,189,1995
98,1995-04-09,0.0,99,1995,S2,0.13,0.00459,0.01158,,41.0,18.0,0.0,0.0,0.0,S2,421.98,M,,,,,0.0,,190,1995
99,1995-04-10,0.0,100,1995,S2,0.1,0.00353,0.00891,,41.0,21.0,0.0,0.0,0.0,S2,421.98,M,,,,,0.0,,191,1995
100,1995-04-11,0.13,101,1995,S2,0.11,0.00388,0.0098,,43.0,26.0,0.02,0.2,,S2,421.98,M,,,,,,,192,1995
101,1995-04-12,2.59,102,1995,S2,0.24,0.00848,0.02138,,35.0,28.0,0.65,3.4,4.0,S2,422.02,M,S2,0.0,3.0,40.0,10.16,7.62,193,1995
102,1995-04-13,0.0,103,1995,S2,0.72,0.02543,0.06413,,39.0,29.0,0.33,2.6,5.0,S2,422.04,M,,,,,12.7,,194,1995
103,1995-04-14,0.05,104,1995,S2,1.58,0.0558,0.14073,,56.0,28.0,0.0,0.0,1.0,S2,422.04,M,,,,,2.54,,195,1995
104,1995-04-15,0.0,105,1995,S2,1.79,0.06321,0.15944,,55.0,32.0,0.0,0.0,,S2,422.04,M,,,,,,,196,1995
105,1995-04-16,0.13,106,1995,S2,1.49,0.05262,0.13272,,45.0,29.0,0.07,0.5,,S2,422.04,M,,,,,,,197,1995
106,1995-04-17,0.0,107,1995,S2,1.88,0.06639,0.16746,,36.0,31.0,0.01,,,S2,422.04,M,,,,,,,198,1995
107,1995-04-18,0.0,108,1995,S2,2.46,0.08687,0.21912,,54.0,32.0,0.0,0.0,0.0,S2,422.04,M,,,,,0.0,,199,1995
108,1995-04-19,0.0,109,1995,S2,1.73,0.06109,0.15409,,44.0,30.0,0.17,,,S2,422.04,M,,,,,,,200,1995
109,1995-04-20,0.0,110,1995,S2,0.93,0.03284,0.08284,,56.0,24.0,0.0,0.0,0.0,S2,422.03,M,,,,,0.0,,201,1995
110,1995-04-21,0.0,111,1995,S2,0.9,0.03178,0.08016,,55.0,30.0,,0.0,0.0,S2,422.02,M,S2,0.0,3.0,40.0,0.0,7.62,202,1995
111,1995-04-22,0.0,112,1995,S2,0.89,0.03143,0.07927,,59.0,28.0,0.0,0.0,0.0,S2,422.02,M,,,,,0.0,,203,1995
112,1995-04-23,0.33,113,1995,S2,0.91,0.03214,0.08106,,58.0,33.0,0.01,0.0,0.0,S2,422.02,M,,,,,0.0,,204,1995
113,1995-04-24,0.0,114,1995,S2,0.92,0.03249,0.08195,,55.0,28.0,0.03,0.0,0.0,S2,422.02,M,,,,,0.0,,205,1995
114,1995-04-25,0.0,115,1995,S2,0.77,0.02719,0.06859,,50.0,27.0,0.0,0.0,0.0,S2,422.02,M,,,,,0.0,,206,1995
115,1995-04-26,0.0,116,1995,S2,0.66,0.02331,0.05879,,54.0,27.0,0.0,0.0,0.0,S2,422.01,M,,,,,0.0,,207,1995
116,1995-04-27,0.0,117,1995,S2,0.58,0.02048,0.05166,,48.0,27.0,,,0.0,S2,422.01,M,S2,0.0,0.0,0.0,0.0,0.0,208,1995
117,1995-04-28,0.0,118,1995,S2,0.57,0.02013,0.05077,,48.0,33.0,,,0.0,S2,422.01,M,,,,,0.0,,209,1995
118,1995-04-29,0.0,119,1995,S2,0.52,0.01836,0.04632,,53.0,30.0,0.0,0.0,0.0,S2,422.0,M,,,,,0.0,,210,1995
119,1995-04-30,0.0,120,1995,S2,0.47,0.0166,0.04186,,56.0,36.0,0.0,0.0,0.0,S2,422.0,M,,,,,0.0,,211,1995
120,1995-05-01,0.0,121,1995,S2,0.43,0.01519,0.0383,,57.0,34.0,0.0,0.0,0.0,S2,422.0,M,,,,,0.0,,212,1995
121,1995-05-02,0.0,122,1995,S2,0.4,0.01413,0.03563,,57.0,38.0,0.0,0.0,0.0,S2,422.0,M,,,,,0.0,,213,1995
122,1995-05-03,0.0,123,1995,S2,0.41,0.01448,0.03652,,62.0,40.0,,0.0,0.0,S2,422.0,M,,,,,0.0,,214,1995
123,1995-05-04,0.38,124,1995,S2,0.48,0.01695,0.04275,,65.0,43.0,0.0,0.0,0.0,S2,422.0,M,,,,,0.0,,215,1995
124,1995-05-05,0.0,125,1995,S2,0.5,0.01766,0.04454,,65.0,36.0,0.15,0.0,0.0,S2,422.0,M,,,,,0.0,,216,1995
125,1995-05-06,0.0,126,1995,S2,0.4,0.01413,0.03563,,63.0,30.0,0.0,0.0,0.0,S2,422.0,M,,,,,0.0,,217,1995
126,1995-05-07,0.28,127,1995,S2,0.45,0.01589,0.04008,,70.0,45.0,0.08,0.0,0.0,S2,422.0,M,,,,,0.0,,218,1995
127,1995-05-08,1.14,128,1995,S2,0.58,0.02048,0.05166,,67.0,,0.0,0.0,0.0,S2,422.01,M,,,,,0.0,,219,1995
128,1995-05-09,1.22,129,1995,S2,2.67,0.09429,0.23782,,58.0,41.0,0.5,0.0,0.0,S2,422.05,M,,,,,0.0,,220,1995
129,1995-05-10,0.0,130,1995,S2,2.88,0.10171,0.25653,,44.0,40.0,0.27,0.0,0.0,S2,422.05,M,,,,,0.0,,221,1995
130,1995-05-11,0.0,131,1995,S2,2.21,0.07805,0.19685,,59.0,34.0,,0.0,0.0,S2,422.04,M,,,,,0.0,,222,1995
131,1995-05-12,0.0,132,1995,S2,1.65,0.05827,0.14697,,74.0,42.0,0.0,0.0,0.0,S2,422.02,M,,,,,0.0,,223,1995
132,1995-05-13,1.14,133,1995,S2,1.57,0.05544,0.13984,,72.0,48.0,0.0,0.0,0.0,S2,422.02,M,,,,,0.0,,224,1995
133,1995-05-14,0.0,134,1995,S2,2.09,0.07381,0.18616,,59.0,43.0,0.63,0.0,0.0,S2,422.02,M,,,,,0.0,,225,1995
134,1995-05-15,0.41,135,1995,S2,1.5,0.05297,0.13361,,68.0,43.0,0.0,0.0,0.0,S2,422.02,M,,,,,0.0,,226,1995
135,1995-05-16,0.0,136,1995,S2,1.41,0.04979,0.12559,,71.0,41.0,0.04,0.0,0.0,S2,422.01,M,,,,,0.0,,227,1995
136,1995-05-17,0.0,137,1995,S2,0.91,0.03214,0.08106,,72.0,33.0,0.0,0.0,0.0,S2,422.01,M,,,,,0.0,,228,1995
137,1995-05-18,0.0,138,1995,S2,0.67,0.02366,0.05968,,66.0,34.0,0.0,0.0,0.0,S2,422.0,M,,,,,0.0,,229,1995
138,1995-05-19,0.46,139,1995,S2,0.53,0.01872,0.04721,,75.0,41.0,0.0,0.0,0.0,S2,422.0,M,,,,,0.0,,230,1995
139,1995-05-20,0.13,140,1995,S2,0.58,0.02048,0.05166,,76.0,45.0,0.03,0.0,0.0,S2,422.0,M,,,,,0.0,,231,1995
140,1995-05-21,0.0,141,1995,S2,0.38,0.01342,0.03385,,62.0,37.0,0.0,0.0,0.0,S2,421.99,M,,,,,0.0,,232,1995
141,1995-05-22,0.0,142,1995,S2,0.26,0.00918,0.02316,,69.0,48.0,0.0,0.0,0.0,S2,421.98,M,,,,,0.0,,233,1995
142,1995-05-23,0.0,143,1995,S2,0.21,0.00742,0.01871,,65.0,44.0,0.0,0.0,0.0,S2,421.98,M,,,,,0.0,,234,1995
143,1995-05-24,0.0,144,1995,S2,0.16,0.00565,0.01425,,57.0,37.0,0.0,0.0,0.0,S2,421.98,M,,,,,0.0,,235,1995
144,1995-05-25,1.02,145,1995,S2,0.62,0.0219,0.05522,,60.0,41.0,0.48,0.0,0.0,S2,422.0,M,,,,,0.0,,236,1995
145,1995-05-26,0.0,146,1995,S2,0.53,0.01872,0.04721,,60.0,36.0,0.02,0.0,0.0,S2,421.99,M,,,,,0.0,,237,1995
146,1995-05-27,0.08,147,1995,S2,0.3,0.01059,0.02672,,68.0,49.0,0.0,0.0,0.0,S2,421.98,M,,,,,0.0,,238,1995
147,1995-05-28,0.3,148,1995,S2,0.28,0.00989,0.02494,,67.0,46.0,0.31,0.0,0.0,S2,421.98,M,,,,,0.0,,239,1995
148,1995-05-29,0.0,149,1995,S2,0.18,0.00636,0.01603,,67.0,43.0,0.04,0.0,0.0,S2,421.98,M,,,,,0.0,,240,1995
149,1995-05-30,0.0,150,1995,S2,0.08,0.00283,0.00713,,80.0,49.0,0.0,0.0,0.0,S2,421.97,M,,,,,0.0,,241,1995
150,1995-05-31,0.0,151,1995,S2,0.02,0.00071,0.00178,,84.0,52.0,0.0,0.0,0.0,S2,421.97,M,,,,,0.0,,242,1995
151,1995-06-01,0.08,152,1995,S2,0.01,0.00035,0.00089,,85.0,56.0,0.0,0.0,0.0,S2,421.96,M,,,,,0.0,,243,1995
152,1995-06-02,0.0,153,1995,S2,0.008,0.00028,0.00071,,78.0,52.0,,0.0,0.0,S2,421.96,M,,,,,0.0,,244,1995
153,1995-06-03,0.0,154,1995,S2,0.002,7e-05,0.00018,,84.0,51.0,0.0,0.0,0.0,S2,421.95,M,,,,,0.0,,245,1995
154,1995-06-04,0.0,155,1995,S2,0.001,4e-05,9e-05,,84.0,50.0,0.0,0.0,0.0,S2,421.95,M,,,,,0.0,,246,1995
155,1995-06-05,0.0,156,1995,S2,0.0,0.0,0.0,,87.0,57.0,0.0,0.0,0.0,S2,421.94,M,,,,,0.0,,247,1995
156,1995-06-06,0.56,157,1995,S2,0.0,0.0,0.0,,80.0,61.0,0.05,0.0,0.0,S2,421.95,M,,,,,0.0,,248,1995
157,1995-06-07,0.81,158,1995,S2,0.07,0.00247,0.00624,,76.0,49.0,0.39,0.0,0.0,S2,421.97,M,,,,,0.0,,249,1995
158,1995-06-08,0.0,159,1995,S2,0.06,0.00212,0.00534,,49.0,35.0,0.16,0.0,0.0,S2,421.97,M,,,,,0.0,,250,1995
159,1995-06-09,0.0,160,1995,S2,0.01,0.00035,0.00089,,63.0,39.0,0.0,0.0,0.0,S2,421.96,M,,,,,0.0,,251,1995
160,1995-06-10,0.0,161,1995,S2,0.002,7e-05,0.00018,,71.0,46.0,0.0,0.0,0.0,S2,421.95,M,,,,,0.0,,252,1995
161,1995-06-11,0.0,162,1995,S2,0.0,0.0,0.0,,71.0,42.0,0.0,0.0,0.0,S2,421.95,M,,,,,0.0,,253,1995
162,1995-06-12,0.0,163,1995,S2,0.0,0.0,0.0,,73.0,41.0,0.0,0.0,0.0,S2,421.94,M,,,,,0.0,,254,1995
163,1995-06-13,0.0,164,1995,S2,0.0,0.0,0.0,,82.0,46.0,0.0,0.0,0.0,S2,421.93,M,,,,,0.0,,255,1995
164,1995-06-14,0.0,165,1995,S2,0.0,0.0,0.0,,82.0,51.0,0.0,0.0,0.0,S2,421.93,M,,,,,0.0,,256,1995
165,1995-06-15,0.0,166,1995,S2,0.0,0.0,0.0,,88.0,55.0,0.0,0.0,0.0,S2,421.92,M,,,,,0.0,,257,1995
166,1995-06-16,0.0,167,1995,S2,0.0,0.0,0.0,,88.0,58.0,0.0,0.0,0.0,S2,421.91,M,,,,,0.0,,258,1995
167,1995-06-17,0.0,168,1995,S2,0.0,0.0,0.0,,89.0,68.0,0.0,0.0,0.0,S2,421.91,M,,,,,0.0,,259,1995
168,1995-06-18,0.0,169,1995,S2,0.0,0.0,0.0,,96.0,68.0,0.0,0.0,0.0,S2,421.9,M,,,,,0.0,,260,1995
169,1995-06-19,0.0,170,1995,S2,0.0,0.0,0.0,,96.0,70.0,0.0,0.0,0.0,S2,421.89,M,,,,,0.0,,261,1995
170,1995-06-20,0.0,171,1995,S2,0.0,0.0,0.0,,93.0,66.0,0.0,0.0,0.0,S2,421.87,M,,,,,0.0,,262,1995
171,1995-06-21,0.0,172,1995,S2,0.0,0.0,0.0,,96.0,58.0,0.0,0.0,0.0,S2,421.86,M,,,,,0.0,,263,1995
172,1995-06-22,0.71,173,1995,S2,0.0,0.0,0.0,,95.0,63.0,0.37,0.0,0.0,S2,421.89,M,,,,,0.0,,264,1995
173,1995-06-23,0.05,174,1995,S2,0.0,0.0,0.0,,90.0,66.0,0.02,0.0,0.0,S2,421.88,M,,,,,0.0,,265,1995
174,1995-06-24,0.0,175,1995,S2,0.0,0.0,0.0,,90.0,66.0,0.0,0.0,0.0,S2,421.86,M,,,,,0.0,,266,1995
175,1995-06-25,0.0,176,1995,S2,0.0,0.0,0.0,,81.0,62.0,0.0,0.0,0.0,S2,421.85,M,,,,,0.0,,267,1995
176,1995-06-26,0.66,177,1995,S2,0.0,0.0,0.0,,81.0,64.0,0.25,0.0,0.0,S2,421.87,M,,,,,0.0,,268,1995
