Date,Watershed,Flow (L/s),Flow (CFS),Flow (cm/day)
1961-08-09,S1,0,0,0
1961-08-10,S1,0,0,0
1961-08-11,S1,0,0,0
1961-08-12,S1,0,0,0
1961-08-13,S1,0,0,0
1961-08-14,S1,0,0,0
1961-08-15,S1,0,0,0
1961-08-16,S1,0,0,0
1961-08-17,S1,0,0,0
1961-08-18,S1,0,0,0
1961-08-19,S1,0,0,0
1961-08-20,S1,0,0,0
1961-08-21,S1,0,0,0
1961-08-22,S1,0,0,0
1961-08-23,S1,0,0,0
1961-08-24,S1,0,0,0
1961-08-25,S1,0,0,0
1961-08-26,S1,0,0,0
1961-08-27,S1,0,0,0
1961-08-28,S1,0,0,0
1961-08-29,S1,0,0,0
1961-08-30,S1,0,0,0
1961-08-31,S1,0,0,0
1961-09-01,S1,0,0,0
1961-09-02,S1,0,0,0
1961-09-03,S1,0,0,0
1961-09-04,S1,0,0,0
1961-09-05,S1,0,0,0
1961-09-06,S1,0,0,0
1961-09-07,S1,0,0,0
1961-09-08,S1,0,0,0
1961-09-09,S1,0,0,0
1961-09-10,S1,2.86,0.101,0.07443
1961-09-11,S1,4.84784,0.1712,0.12616
1961-09-12,S1,3.70668,0.1309,0.09646
1961-09-13,S1,5.37737,0.1899,0.13994
1961-09-14,S1,5.28959,0.1868,0.13766
1961-09-15,S1,4.28151,0.1512,0.11142
1961-09-16,S1,3.4943,0.1234,0.09094
1961-09-17,S1,3.01008,0.1063,0.07833
1961-09-18,S1,2.66745,0.0942,0.06942
1961-09-19,S1,2.38994,0.0844,0.0622
1961-09-20,S1,2.13509,0.0754,0.05556
1961-09-21,S1,2.55701,0.0903,0.06654
1961-09-22,S1,2.55701,0.0903,0.06654
1961-09-23,S1,2.13509,0.0754,0.05556
1961-09-24,S1,1.8406,0.065,0.0479
1961-09-25,S1,1.6537,0.0584,0.04304
1961-09-26,S1,1.51778,0.0536,0.0395
1961-09-27,S1,1.46398,0.0517,0.0381
1961-09-28,S1,1.22329,0.0432,0.03184
1961-09-29,S1,1.144,0.0404,0.02977
1961-09-30,S1,1.06471,0.0376,0.02771
1961-10-01,S1,0,0,0
1961-10-02,S1,0,0,0
1961-10-03,S1,0,0,0
1961-10-04,S1,0,0,0
1961-10-05,S1,0,0,0
1961-10-06,S1,0,0,0
1961-10-07,S1,0,0,0
1961-10-08,S1,0,0,0
1961-10-09,S1,0,0,0
1961-10-10,S1,0,0,0
1961-10-11,S1,0,0,0
1961-10-12,S1,0,0,0
1961-10-13,S1,0,0,0
1961-10-14,S1,0,0,0
1961-10-15,S1,0,0,0
1961-10-16,S1,0,0,0
1961-10-17,S1,0,0,0
1961-10-18,S1,0,0,0
1961-10-19,S1,0,0,0
1961-10-20,S1,0,0,0
1961-10-21,S1,0,0,0
1961-10-22,S1,0,0,0
1961-10-23,S1,0,0,0
1961-10-24,S1,0,0,0
1961-10-25,S1,0,0,0
1961-10-26,S1,0,0,0
1961-10-27,S1,0,0,0
1961-10-28,S1,0,0,0
1961-10-29,S1,0,0,0
1961-10-30,S1,0,0,0
1961-10-31,S1,0,0,0
1961-11-01,S1,0,0,0
1961-11-02,S1,0,0,0
1961-11-03,S1,0,0,0
1961-11-04,S1,0,0,0
1961-11-05,S1,0,0,0
1961-11-06,S1,0,0,0
1961-11-07,S1,0,0,0
1961-11-08,S1,0,0,0
1961-11-09,S1,0,0,0
1961-11-10,S1,0,0,0
1961-11-11,S1,0,0,0
1961-11-12,S1,0,0,0
1961-11-13,S1,0,0,0
1961-11-14,S1,0,0,0
1961-11-15,S1,0,0,0
1961-11-16,S1,0,0,0
1961-11-17,S1,0,0,0
1961-11-18,S1,0,0,0
1961-11-19,S1,0,0,0
1961-11-20,S1,0,0,0
1961-11-21,S1,0,0,0
1961-11-22,S1,0,0,0
1961-11-23,S1,0,0,0
1961-11-24,S1,0,0,0
1961-11-25,S1,0,0,0
1961-11-26,S1,0,0,0
1961-11-27,S1,0,0,0
1961-11-28,S1,0,0,0
1961-11-29,S1,0,0,0
1961-11-30,S1,0,0,0
1961-12-01,S1,0,0,0
1961-12-02,S1,0,0,0
1961-12-03,S1,0,0,0
1961-12-04,S1,0,0,0
1961-12-05,S1,0,0,0
1961-12-06,S1,0,0,0
1961-12-07,S1,0,0,0
1961-12-08,S1,0,0,0
1961-12-09,S1,0,0,0
1961-12-10,S1,0,0,0
1961-12-11,S1,0,0,0
1961-12-12,S1,0,0,0
1961-12-13,S1,0,0,0
1961-12-14,S1,0,0,0
1961-12-15,S1,0,0,0
1961-12-16,S1,0,0,0
1961-12-17,S1,0,0,0
1961-12-18,S1,0,0,0
1961-12-19,S1,0,0,0
1961-12-20,S1,0,0,0
1961-12-21,S1,0,0,0
1961-12-22,S1,0,0,0
1961-12-23,S1,0,0,0
1961-12-24,S1,0,0,0
1961-12-25,S1,0,0,0
1961-12-26,S1,0,0,0
1961-12-27,S1,0,0,0
1961-12-28,S1,0,0,0
1961-12-29,S1,0,0,0
1961-12-30,S1,0,0,0
1961-12-31,S1,0,0,0
1962-01-01,S1,0,0,0
1962-01-02,S1,0,0,0
1962-01-03,S1,0,0,0
1962-01-04,S1,0,0,0
1962-01-05,S1,0,0,0
1962-01-06,S1,0,0,0
1962-01-07,S1,0,0,0
1962-01-08,S1,0,0,0
1962-01-09,S1,0,0,0
1962-01-10,S1,0,0,0
1962-01-11,S1,0,0,0
1962-01-12,S1,0,0,0
1962-01-13,S1,0,0,0
1962-01-14,S1,0,0,0
1962-01-15,S1,0,0,0
1962-01-16,S1,0,0,0
1962-01-17,S1,0,0,0
1962-01-18,S1,0,0,0
1962-01-19,S1,0,0,0
1962-01-20,S1,0,0,0
1962-01-21,S1,0,0,0
1962-01-22,S1,0,0,0
1962-01-23,S1,0,0,0
1962-01-24,S1,0,0,0
1962-01-25,S1,0,0,0
1962-01-26,S1,0,0,0
1962-01-27,S1,0,0,0
1962-01-28,S1,0,0,0
1962-01-29,S1,0,0,0
1962-01-30,S1,0,0,0
1962-01-31,S1,0,0,0
1962-02-01,S1,0,0,0
1962-02-02,S1,0,0,0
1962-02-03,S1,0,0,0
1962-02-04,S1,0,0,0
1962-02-05,S1,0,0,0
1962-02-06,S1,0,0,0
1962-02-07,S1,0,0,0
1962-02-08,S1,0,0,0
1962-02-09,S1,0,0,0
1962-02-10,S1,0,0,0
1962-02-11,S1,0,0,0
1962-02-12,S1,0,0,0
1962-02-13,S1,0,0,0
1962-02-14,S1,0,0,0
1962-02-15,S1,0,0,0
1962-02-16,S1,0,0,0
1962-02-17,S1,0,0,0
1962-02-18,S1,0,0,0
1962-02-19,S1,0,0,0
1962-02-20,S1,0,0,0
1962-02-21,S1,0,0,0
1962-02-22,S1,0,0,0
1962-02-23,S1,0,0,0
1962-02-24,S1,0,0,0
1962-02-25,S1,0,0,0
1962-02-26,S1,0,0,0
1962-02-27,S1,0,0,0
1962-02-28,S1,0,0,0
1962-03-01,S1,0,0,0
1962-03-02,S1,0,0,0
1962-03-03,S1,0,0,0
1962-03-04,S1,0,0,0
1962-03-05,S1,0,0,0
1962-03-06,S1,0,0,0
1962-03-07,S1,0,0,0
1962-03-08,S1,0,0,0
1962-03-09,S1,0,0,0
1962-03-10,S1,0,0,0
1962-03-11,S1,0,0,0
1962-03-12,S1,0,0,0
1962-03-13,S1,0,0,0
1962-03-14,S1,0,0,0
1962-03-15,S1,0,0,0
1962-03-16,S1,0,0,0
1962-03-17,S1,0,0,0
1962-03-18,S1,0,0,0
1962-03-19,S1,0,0,0
1962-03-20,S1,0,0,0
1962-03-21,S1,0,0,0
1962-03-22,S1,0,0,0
1962-03-23,S1,0,0,0
1962-03-24,S1,0,0,0
1962-03-25,S1,0,0,0
1962-03-26,S1,0,0,0
1962-03-27,S1,0,0,0
1962-03-28,S1,0,0,0
1962-03-29,S1,0,0,0
1962-03-30,S1,0,0,0
1962-03-31,S1,0,0,0
1962-04-01,S1,0,0,0
1962-04-02,S1,0,0,0
1962-04-03,S1,0,0,0
1962-04-04,S1,0,0,0
1962-04-05,S1,0,0,0
1962-04-06,S1,0,0,0
1962-04-07,S1,0,0,0
1962-04-08,S1,0,0,0
1962-04-09,S1,0,0,0
1962-04-10,S1,0,0,0
1962-04-11,S1,0,0,0
1962-04-12,S1,0,0,0
1962-04-13,S1,0,0,0
1962-04-14,S1,0,0,0
1962-04-15,S1,0,0,0
1962-04-16,S1,0,0,0
1962-04-17,S1,0,0,0
1962-04-18,S1,0,0,0
1962-04-19,S1,0,0,0
1962-04-20,S1,0.0623,0.0022,0.00162
1962-04-21,S1,0.36246,0.0128,0.00943
1962-04-22,S1,0.64846,0.0229,0.01688
1962-04-23,S1,0.99109,0.035,0.02579
1962-04-24,S1,1.25444,0.0443,0.03265
1962-04-25,S1,1.47531,0.0521,0.03839
1962-04-26,S1,1.56309,0.0552,0.04068
1962-04-27,S1,2.23986,0.0791,0.05829
1962-04-28,S1,3.12335,0.1103,0.08128
1962-04-29,S1,4.576,0.1616,0.11909
1962-04-30,S1,6.67711,0.2358,0.17377
1962-05-01,S1,6.94895,0.2454,0.18084
1962-05-02,S1,6.23254,0.2201,0.1622
1962-05-03,S1,5.59541,0.1976,0.14562
1962-05-04,S1,4.99226,0.1763,0.12992
1962-05-05,S1,4.42026,0.1561,0.11503
1962-05-06,S1,3.74915,0.1324,0.09757
1962-05-07,S1,3.36971,0.119,0.08769
1962-05-08,S1,3.24794,0.1147,0.08452
1962-05-09,S1,3.12901,0.1105,0.08143
1962-05-10,S1,3.12901,0.1105,0.08143
1962-05-11,S1,2.89398,0.1022,0.07531
1962-05-12,S1,4.85351,0.1714,0.12631
1962-05-13,S1,4.56184,0.1611,0.11872
1962-05-14,S1,4.0125,0.1417,0.10442
1962-05-15,S1,6.83569,0.2414,0.17789
1962-05-16,S1,11.11436,0.3925,0.28924
1962-05-17,S1,16.62199,0.587,0.43257
1962-05-18,S1,14.66246,0.5178,0.38158
1962-05-19,S1,14.5492,0.5138,0.37863
1962-05-20,S1,12.15359,0.4292,0.31629
1962-05-21,S1,9.37854,0.3312,0.24407
1962-05-22,S1,9.67304,0.3416,0.25173
1962-05-23,S1,18.80805,0.6642,0.48946
1962-05-24,S1,16.62199,0.587,0.43257
1962-05-25,S1,11.88458,0.4197,0.30929
1962-05-26,S1,8.46957,0.2991,0.22041
1962-05-27,S1,7.07072,0.2497,0.18401
1962-05-28,S1,5.90973,0.2087,0.1538
1962-05-29,S1,3.39519,0.1199,0.08836
1962-05-30,S1,5.59541,0.1976,0.14562
1962-05-31,S1,5.28959,0.1868,0.13766
1962-06-01,S1,4.56184,0.1611,0.11872
1962-06-02,S1,4.0125,0.1417,0.10442
1962-06-03,S1,3.62173,0.1279,0.09425
1962-06-04,S1,3.24794,0.1147,0.08452
1962-06-05,S1,3.05539,0.1079,0.07951
1962-06-06,S1,2.77788,0.0981,0.07229
1962-06-07,S1,2.55701,0.0903,0.06654
1962-06-08,S1,2.3418,0.0827,0.06094
1962-06-09,S1,2.13509,0.0754,0.05556
1962-06-10,S1,2.10111,0.0742,0.05468
1962-06-11,S1,2.44658,0.0864,0.06367
1962-06-12,S1,2.11244,0.0746,0.05497
1962-06-13,S1,1.74432,0.0616,0.04539
1962-06-14,S1,1.56309,0.0552,0.04068
1962-06-15,S1,1.38753,0.049,0.03611
1962-06-16,S1,1.46681,0.0518,0.03817
1962-06-17,S1,1.99634,0.0705,0.05195
1962-06-18,S1,2.23703,0.079,0.05822
1962-06-19,S1,1.97935,0.0699,0.05151
1962-06-20,S1,1.74432,0.0616,0.04539
1962-06-21,S1,1.65087,0.0583,0.04296
1962-06-22,S1,1.8406,0.065,0.0479
1962-06-23,S1,1.56309,0.0552,0.04068
1962-06-24,S1,1.30541,0.0461,0.03397
1962-06-25,S1,1.06471,0.0376,0.02771
1962-06-26,S1,0.85234,0.0301,0.02218
1962-06-27,S1,0.71075,0.0251,0.0185
1962-06-28,S1,0.77588,0.0274,0.02019
1962-06-29,S1,1.6537,0.0584,0.04304
1962-06-30,S1,1.22329,0.0432,0.03184
1962-07-01,S1,1.06471,0.0376,0.02771
1962-07-02,S1,1.06471,0.0376,0.02771
1962-07-03,S1,0.99958,0.0353,0.02601
1962-07-04,S1,1.05056,0.0371,0.02734
1962-07-05,S1,1.22329,0.0432,0.03184
1962-07-06,S1,0.99958,0.0353,0.02601
1962-07-07,S1,3.26776,0.1154,0.08504
1962-07-08,S1,3.4943,0.1234,0.09094
1962-07-09,S1,2.77788,0.0981,0.07229
1962-07-10,S1,2.46073,0.0869,0.06404
1962-07-11,S1,1.93687,0.0684,0.05041
1962-07-12,S1,1.56309,0.0552,0.04068
1962-07-13,S1,1.22329,0.0432,0.03184
1962-07-14,S1,0.91747,0.0324,0.02388
1962-07-15,S1,0.77871,0.0275,0.02027
1962-07-16,S1,0.64846,0.0229,0.01688
1962-07-17,S1,0.43042,0.0152,0.0112
1962-07-18,S1,0.26618,0.0094,0.00693
1962-07-19,S1,0.22087,0.0078,0.00575
1962-07-20,S1,0.26618,0.0094,0.00693
1962-07-21,S1,0.31432,0.0111,0.00818
1962-07-22,S1,0.31432,0.0111,0.00818
1962-07-23,S1,0.31432,0.0111,0.00818
1962-07-24,S1,0.35113,0.0124,0.00914
1962-07-25,S1,0.7504,0.0265,0.01953
1962-07-26,S1,0.77871,0.0275,0.02027
1962-07-27,S1,0.71075,0.0251,0.0185
1962-07-28,S1,0.71075,0.0251,0.0185
1962-07-29,S1,0.69659,0.0246,0.01813
1962-07-30,S1,1.22329,0.0432,0.03184
1962-07-31,S1,1.11568,0.0394,0.02903
1962-08-01,S1,1.06471,0.0376,0.02771
1962-08-02,S1,1.06471,0.0376,0.02771
1962-08-03,S1,0.99109,0.035,0.02579
1962-08-04,S1,0.91747,0.0324,0.02388
1962-08-05,S1,0.84667,0.0299,0.02203
1962-08-06,S1,0.98826,0.0349,0.02572
1962-08-07,S1,0.97127,0.0343,0.02528
1962-08-08,S1,0.84667,0.0299,0.02203
1962-08-09,S1,0.84667,0.0299,0.02203
1962-08-10,S1,0.84667,0.0299,0.02203
1962-08-11,S1,1.03357,0.0365,0.0269
1962-08-12,S1,1.38753,0.049,0.03611
1962-08-13,S1,1.30541,0.0461,0.03397
1962-08-14,S1,1.04206,0.0368,0.02712
1962-08-15,S1,0.91747,0.0324,0.02388
1962-08-16,S1,0.84667,0.0299,0.02203
1962-08-17,S1,0.64846,0.0229,0.01688
1962-08-18,S1,0.52669,0.0186,0.01371
1962-08-19,S1,0.41343,0.0146,0.01076
1962-08-20,S1,0.31432,0.0111,0.00818
1962-08-21,S1,0.18689,0.0066,0.00486
1962-08-22,S1,0.14442,0.0051,0.00376
1962-08-23,S1,0.1076,0.0038,0.0028
1962-08-24,S1,0.07646,0.0027,0.00199
1962-08-25,S1,0.05097,0.0018,0.00133
1962-08-26,S1,0.00566,0.0002,0.00015
1962-08-27,S1,0,0,0
1962-08-28,S1,0,0,0
1962-08-29,S1,0,0,0
1962-08-30,S1,0,0,0
1962-08-31,S1,0,0,0
1962-09-01,S1,0,0,0
1962-09-02,S1,0,0,0
1962-09-03,S1,0,0,0
1962-09-04,S1,0,0,0
1962-09-05,S1,0,0,0
1962-09-06,S1,0,0,0
1962-09-07,S1,0,0,0
1962-09-08,S1,0,0,0
1962-09-09,S1,0.20954,0.0074,0.00545
1962-09-10,S1,2.43525,0.086,0.06338
1962-09-11,S1,3.18565,0.1125,0.0829
1962-09-12,S1,2.66745,0.0942,0.06942
1962-09-13,S1,1.93687,0.0684,0.05041
1962-09-14,S1,1.56309,0.0552,0.04068
1962-09-15,S1,1.47531,0.0521,0.03839
1962-09-16,S1,0.91747,0.0324,0.02388
1962-09-17,S1,0.64846,0.0229,0.01688
1962-09-18,S1,0.52669,0.0186,0.01371
1962-09-19,S1,0.47006,0.0166,0.01223
1962-09-20,S1,0.41343,0.0146,0.01076
1962-09-21,S1,0.36246,0.0128,0.00943
1962-09-22,S1,0.26618,0.0094,0.00693
1962-09-23,S1,0.20671,0.0073,0.00538
1962-09-24,S1,0.44741,0.0158,0.01164
1962-09-25,S1,0.41343,0.0146,0.01076
1962-09-26,S1,0.41343,0.0146,0.01076
1962-09-27,S1,0.41343,0.0146,0.01076
1962-09-28,S1,0.41343,0.0146,0.01076
1962-09-29,S1,0.36246,0.0128,0.00943
1962-09-30,S1,0.36246,0.0128,0.00943
1962-10-01,S1,0.31432,0.0111,0.00818
1962-10-02,S1,0.24636,0.0087,0.00641
1962-10-03,S1,0.18123,0.0064,0.00472
1962-10-04,S1,0.1076,0.0038,0.0028
1962-10-05,S1,0.07646,0.0027,0.00199
1962-10-06,S1,0.07646,0.0027,0.00199
1962-10-07,S1,0.07646,0.0027,0.00199
1962-10-08,S1,0.05097,0.0018,0.00133
1962-10-09,S1,0.02832,0.001,0.00074
1962-10-10,S1,0.02832,0.001,0.00074
1962-10-11,S1,0.0085,0.0003,0.00022
1962-10-12,S1,0.0085,0.0003,0.00022
1962-10-13,S1,0.0085,0.0003,0.00022
1962-10-14,S1,0.0085,0.0003,0.00022
1962-10-15,S1,0,0,0
1962-10-16,S1,0,0,0
1962-10-17,S1,0,0,0
1962-10-18,S1,0,0,0
1962-10-19,S1,0,0,0
1962-10-20,S1,0,0,0
1962-10-21,S1,0,0,0
1962-10-22,S1,0,0,0
1962-10-23,S1,0,0,0
1962-10-24,S1,0,0,0
1962-10-25,S1,0,0,0
1962-10-26,S1,0,0,0
1962-10-27,S1,0,0,0
1962-10-28,S1,0,0,0
1962-10-29,S1,0,0,0
1962-10-30,S1,0,0,0
1962-10-31,S1,0,0,0
1962-11-01,S1,0,0,0
1962-11-02,S1,0,0,0
1962-11-03,S1,0,0,0
1962-11-04,S1,0,0,0
1962-11-05,S1,0,0,0
1962-11-06,S1,0,0,0
1962-11-07,S1,0,0,0
1962-11-08,S1,0,0,0
1962-11-09,S1,0,0,0
1962-11-10,S1,0,0,0
1962-11-11,S1,0,0,0
1962-11-12,S1,0,0,0
1962-11-13,S1,0,0,0
1962-11-14,S1,0,0,0
1962-11-15,S1,0,0,0
1962-11-16,S1,0,0,0
1962-11-17,S1,0,0,0
1962-11-18,S1,0,0,0
1962-11-19,S1,0,0,0
1962-11-20,S1,0,0,0
1962-11-21,S1,0,0,0
1962-11-22,S1,0,0,0
1962-11-23,S1,0,0,0
1962-11-24,S1,0,0,0
1962-11-25,S1,0,0,0
1962-11-26,S1,0,0,0
1962-11-27,S1,0,0,0
1962-11-28,S1,0,0,0
1962-11-29,S1,0,0,0
1962-11-30,S1,0,0,0
1962-12-01,S1,0,0,0
1962-12-02,S1,0,0,0
1962-12-03,S1,0,0,0
1962-12-04,S1,0,0,0
1962-12-05,S1,0,0,0
1962-12-06,S1,0,0,0
1962-12-07,S1,0,0,0
1962-12-08,S1,0,0,0
1962-12-09,S1,0,0,0
1962-12-10,S1,0,0,0
1962-12-11,S1,0,0,0
1962-12-12,S1,0,0,0
1962-12-13,S1,0,0,0
1962-12-14,S1,0,0,0
1962-12-15,S1,0,0,0
1962-12-16,S1,0,0,0
1962-12-17,S1,0,0,0
1962-12-18,S1,0,0,0
1962-12-19,S1,0,0,0
1962-12-20,S1,0,0,0
1962-12-21,S1,0,0,0
1962-12-22,S1,0,0,0
1962-12-23,S1,0,0,0
1962-12-24,S1,0,0,0
1962-12-25,S1,0,0,0
1962-12-26,S1,0,0,0
1962-12-27,S1,0,0,0
1962-12-28,S1,0,0,0
1962-12-29,S1,0,0,0
1962-12-30,S1,0,0,0
1962-12-31,S1,0,0,0
1963-01-01,S1,0,0,0
1963-01-02,S1,0,0,0
1963-01-03,S1,0,0,0
1963-01-04,S1,0,0,0
1963-01-05,S1,0,0,0
1963-01-06,S1,0,0,0
1963-01-07,S1,0,0,0
1963-01-08,S1,0,0,0
1963-01-09,S1,0,0,0
1963-01-10,S1,0,0,0
1963-01-11,S1,0,0,0
1963-01-12,S1,0,0,0
1963-01-13,S1,0,0,0
1963-01-14,S1,0,0,0
1963-01-15,S1,0,0,0
1963-01-16,S1,0,0,0
1963-01-17,S1,0,0,0
1963-01-18,S1,0,0,0
1963-01-19,S1,0,0,0
1963-01-20,S1,0,0,0
1963-01-21,S1,0,0,0
1963-01-22,S1,0,0,0
1963-01-23,S1,0,0,0
1963-01-24,S1,0,0,0
1963-01-25,S1,0,0,0
1963-01-26,S1,0,0,0
1963-01-27,S1,0,0,0
1963-01-28,S1,0,0,0
1963-01-29,S1,0,0,0
1963-01-30,S1,0,0,0
1963-01-31,S1,0,0,0
1963-02-01,S1,0,0,0
1963-02-02,S1,0,0,0
1963-02-03,S1,0,0,0
1963-02-04,S1,0,0,0
1963-02-05,S1,0,0,0
1963-02-06,S1,0,0,0
1963-02-07,S1,0,0,0
1963-02-08,S1,0,0,0
1963-02-09,S1,0,0,0
1963-02-10,S1,0,0,0
1963-02-11,S1,0,0,0
1963-02-12,S1,0,0,0
1963-02-13,S1,0,0,0
1963-02-14,S1,0,0,0
1963-02-15,S1,0,0,0
1963-02-16,S1,0,0,0
1963-02-17,S1,0,0,0
1963-02-18,S1,0,0,0
1963-02-19,S1,0,0,0
1963-02-20,S1,0,0,0
1963-02-21,S1,0,0,0
1963-02-22,S1,0,0,0
1963-02-23,S1,0,0,0
1963-02-24,S1,0,0,0
1963-02-25,S1,0,0,0
1963-02-26,S1,0,0,0
1963-02-27,S1,0,0,0
1963-02-28,S1,0,0,0
1963-03-01,S1,0,0,0
1963-03-02,S1,0,0,0
1963-03-03,S1,0,0,0
1963-03-04,S1,0,0,0
1963-03-05,S1,0,0,0
1963-03-06,S1,0,0,0
1963-03-07,S1,0,0,0
1963-03-08,S1,0,0,0
1963-03-09,S1,0,0,0
1963-03-10,S1,0,0,0
1963-03-11,S1,0,0,0
1963-03-12,S1,0,0,0
1963-03-13,S1,0,0,0
1963-03-14,S1,0,0,0
1963-03-15,S1,0,0,0
1963-03-16,S1,0,0,0
1963-03-17,S1,0,0,0
1963-03-18,S1,0,0,0
1963-03-19,S1,0,0,0
1963-03-20,S1,0,0,0
1963-03-21,S1,0,0,0
1963-03-22,S1,0,0,0
1963-03-23,S1,0,0,0
1963-03-24,S1,0,0,0
1963-03-25,S1,0,0,0
1963-03-26,S1,0,0,0
1963-03-27,S1,0,0,0
1963-03-28,S1,0,0,0
1963-03-29,S1,0,0,0
1963-03-30,S1,0,0,0
1963-03-31,S1,0,0,0
1963-04-01,S1,0,0,0
1963-04-02,S1,0.03115,0.0011,0.00081
1963-04-03,S1,0.80986,0.0286,0.02108
1963-04-04,S1,0.64846,0.0229,0.01688
