LOCATION,DATE,YEAR,MONTH,DOY,PAW
S2E,2017-05-10,2017,5,130,0.42462399999999967
S2E,2017-09-21,2017,9,264,0.0
S2E,2017-10-25,2017,10,298,0.0
S2E,2018-05-23,2018,5,143,0.32403999999999966
S2E,2018-09-19,2018,9,262,0.0
S2E,2018-11-16,2018,11,320,0.39919199999999966
S2E,2019-05-23,2019,5,143,1.04994
S2E,2019-09-26,2019,9,269,0.0
S2E,2019-11-16,2019,11,320,0.313848
S2E,2020-06-18,2020,6,170,3.914583999999999
S2E,2020-10-06,2020,10,280,0.07715199999999989
S2E,2022-05-21,2022,5,141,0.6806559999999999
S2E,2022-10-11,2022,10,284,0.040575999999999945
S2E,2023-05-15,2023,5,135,0.8914439999999998
S2S,1968-04-30,1968,4,121,1.139704000000001
S2S,1968-09-12,1968,9,256,0.7469120000000007
S2S,1969-03-12,1969,3,71,0.48173600000000016
S2S,1969-04-30,1969,4,120,0.9796840000000009
S2S,1969-09-09,1969,9,252,0.0
S2S,1969-11-04,1969,11,308,0.5537639999999998
S2S,1970-03-06,1970,3,65,1.0216319999999997
S2S,1970-05-06,1970,5,126,1.1608679999999993
S2S,1970-09-17,1970,9,260,0.0
S2S,1970-11-17,1970,11,321,0.6341360000000005
S2S,1971-05-05,1971,5,125,0.34497599999999984
S2S,1971-11-11,1971,11,315,0.2447919999999999
S2S,1972-05-03,1972,5,124,1.290580000000001
S2S,1972-09-07,1972,9,251,0.0
S2S,1972-11-13,1972,11,318,0.15335199999999993
S2S,1973-05-03,1973,5,123,1.1187680000000007
S2S,1973-09-12,1973,9,255,0.0
S2S,1973-11-13,1973,11,317,0.37200800000000067
S2S,1974-05-06,1974,5,126,2.034292000000001
S2S,1974-09-19,1974,9,262,0.0
S2S,1974-11-21,1974,11,325,0.2905119999999999
S2S,1975-05-07,1975,5,127,1.3961360000000012
S2S,1975-09-18,1975,9,261,0.0
S2S,1975-11-10,1975,11,314,0.0
S2S,1976-05-13,1976,5,134,0.4207760000000005
S2S,1976-07-08,1976,7,190,0.0
S2S,1976-09-16,1976,9,260,0.0
S2S,1976-11-18,1976,11,323,0.0
S2S,1977-03-07,1977,3,66,0.0
S2S,1977-04-06,1977,4,96,0.2447919999999999
S2S,1977-05-09,1977,5,129,0.28401600000000027
S2S,1977-06-01,1977,6,152,1.024280000000001
S2S,1977-07-06,1977,7,187,0.9328400000000009
S2S,1977-08-08,1977,8,220,0.0
S2S,1977-09-08,1977,9,251,0.8383520000000009
S2S,1977-11-17,1977,11,321,0.9297920000000008
S2S,1978-01-26,1978,1,26,0.26115599999999994
S2S,1978-05-04,1978,5,124,1.5820640000000008
S2S,1978-09-20,1978,9,263,1.2102080000000008
S2S,1978-11-16,1978,11,320,0.013144000000000045
S2S,1979-05-08,1979,5,128,1.4109760000000011
S2S,1979-09-17,1979,9,260,0.0
S2S,1979-11-07,1979,11,311,0.3392799999999998
S2S,1980-05-08,1980,5,129,0.8840720000000006
S2S,1980-05-27,1980,5,148,0.12721600000000077
S2S,1980-07-30,1980,7,212,0.0
S2S,1980-09-10,1980,9,254,0.15335199999999993
S2S,1980-11-20,1980,11,325,0.4729920000000002
S2S,1981-03-12,1981,3,71,1.5458880000000002
S2S,1981-05-13,1981,5,133,1.2631480000000008
S2S,1981-09-24,1981,9,267,0.0
S2S,1981-11-18,1981,11,322,0.5122160000000008
S2S,1982-05-12,1982,5,132,1.6578640000000013
S2S,1982-09-23,1982,9,266,0.0
S2S,1982-11-17,1982,11,321,0.4729920000000005
S2S,1983-05-11,1983,5,131,1.4906240000000008
S2S,1983-09-26,1983,9,269,0.0
S2S,1983-12-12,1983,12,346,0.3785040000000005
S2S,1984-05-17,1984,5,138,2.298496000000002
S2S,1984-09-19,1984,9,263,0.0
S2S,1984-11-14,1984,11,319,0.6036560000000007
S2S,1985-05-09,1985,5,129,1.5359440000000013
S2S,1985-09-18,1985,9,261,0.0
S2S,1985-11-06,1985,11,310,0.1990719999999997
S2S,1986-05-15,1986,5,135,1.4454560000000014
S2S,1986-09-18,1986,9,261,0.0011240000000000139
S2S,1986-11-20,1986,11,324,0.42230000000000023
S2S,1987-05-07,1987,5,127,0.5122160000000008
S2S,1987-09-24,1987,9,267,0.0
S2S,1987-11-18,1987,11,322,0.0
S2S,1988-08-05,1988,8,218,0.0
S2S,1988-09-30,1988,9,274,0.32324000000000064
S2S,1988-11-21,1988,11,326,0.6615680000000005
S2S,1989-05-17,1989,5,137,0.637184000000001
S2S,1990-05-24,1990,5,144,0.6194480000000013
S2S,1990-09-24,1990,9,267,0.0
S2S,1990-11-26,1990,11,330,0.0
S2S,1991-05-17,1991,5,137,0.545916000000001
S2S,1991-09-19,1991,9,262,0.0
S2S,1991-11-14,1991,11,318,0.0
S2S,1992-06-02,1992,6,154,0.2887600000000009
S2S,1992-09-24,1992,9,268,0.37465600000000165
S2S,1992-11-19,1992,11,324,0.02398400000000034
S2S,1993-05-13,1993,5,133,0.4925760000000009
S2S,1993-09-23,1993,9,266,0.0544640000000004
S2S,1993-11-17,1993,11,321,0.0
S2S,1994-05-16,1994,5,136,0.5950640000000014
S2S,1994-09-19,1994,9,262,0.0
S2S,1994-11-16,1994,11,320,0.7632760000000013
S2S,1995-05-11,1995,5,131,0.9878560000000015
S2S,1995-09-27,1995,9,270,0.0
S2S,1995-11-13,1995,11,317,0.4142800000000013
S2S,1996-05-16,1996,5,137,0.4600000000000014
S2S,1996-09-19,1996,9,263,0.0
S2S,1996-11-07,1996,11,312,0.2237800000000012
S2S,1997-05-13,1997,5,133,0.5342760000000014
S2S,1997-09-17,1997,9,260,0.0
S2S,1997-11-20,1997,11,324,0.0544640000000004
S2S,1998-04-30,1998,4,120,0.37065600000000076
S2S,1998-09-17,1998,9,260,0.0
S2S,1998-11-13,1998,11,317,0.0
S2S,1999-05-19,1999,5,139,0.5611560000000011
S2S,1999-09-15,1999,9,258,0.0
S2S,1999-11-15,1999,11,319,0.054064000000000334
S2S,2000-05-03,2000,5,124,0.6967720000000012
S2S,2000-10-03,2000,10,277,0.0
S2S,2000-11-15,2000,11,320,0.5794440000000011
S2S,2001-05-11,2001,5,131,0.8887960000000015
S2S,2001-09-24,2001,9,267,0.0
S2S,2001-12-19,2001,12,353,0.27407200000000087
S2S,2002-05-10,2002,5,130,0.6554720000000004
S2S,2002-09-25,2002,9,268,0.0
S2S,2002-11-18,2002,11,322,0.0
S2S,2003-05-08,2003,5,128,0.42439600000000055
S2S,2003-09-24,2003,9,267,0.0
S2S,2003-11-03,2003,11,307,0.0
S2S,2004-05-13,2004,5,134,0.231800000000001
S2S,2004-09-23,2004,9,267,0.38170400000000093
S2S,2004-11-15,2004,11,320,0.4097080000000013
S2S,2005-05-26,2005,5,146,1.9377080000000007
S2S,2005-09-21,2005,9,264,0.0
S2S,2005-10-31,2005,10,304,0.020936000000000066
S2S,2006-05-18,2006,5,138,0.5544880000000009
S2S,2006-09-20,2006,9,263,0.0
S2S,2006-10-30,2006,10,303,0.05598800000000004
S2S,2007-05-14,2007,5,134,0.42287200000000036
S2S,2007-09-27,2007,9,270,0.08342000000000005
S2S,2007-11-01,2007,11,305,0.15464800000000045
S2S,2008-05-21,2008,5,142,0.42190000000000105
S2S,2008-09-29,2008,9,273,0.0
S2S,2008-11-06,2008,11,311,0.0
S2S,2009-05-21,2009,5,141,0.4279960000000008
S2S,2009-09-21,2009,9,264,0.0
S2S,2009-11-02,2009,11,306,0.33030800000000005
S2S,2010-04-26,2010,4,116,0.3883720000000006
S2S,2010-09-20,2010,9,263,0.28626400000000085
S2S,2010-11-01,2010,11,305,0.680980000000001
S2S,2011-05-19,2011,5,139,0.5255320000000011
S2S,2011-09-19,2011,9,262,0.11847200000000047
S2S,2011-10-31,2011,10,304,0.058636000000000355
S2S,2012-05-10,2012,5,131,0.6076560000000014
S2S,2012-09-19,2012,9,263,0.0
S2S,2012-10-27,2012,10,301,0.0
S2S,2013-05-23,2013,5,143,1.292504
S2S,2013-11-15,2013,11,319,0.0996119999999997
S2S,2014-05-21,2014,5,141,1.1233400000000007
S2S,2014-09-17,2014,9,260,0.0
S2S,2014-11-03,2014,11,307,0.0
S2S,2015-05-18,2015,5,138,1.7573240000000008
S2S,2015-09-28,2015,9,271,0.0
S2S,2015-11-02,2015,11,306,0.2996559999999997
S2S,2016-05-16,2016,5,137,0.8520680000000005
S2S,2016-09-27,2016,9,271,0.4466840000000004
S2S,2016-10-31,2016,10,305,0.9084560000000005
S2S,2017-05-10,2017,5,130,0.9852079999999995
S2S,2017-09-21,2017,9,264,0.0
S2S,2017-10-25,2017,10,298,0.18952799999999992
S2S,2018-05-23,2018,5,143,0.8429240000000003
S2S,2018-09-19,2018,9,262,0.0
S2S,2018-11-16,2018,11,320,0.7530080000000002
S2S,2019-05-23,2019,5,143,2.1434480000000002
S2S,2019-09-26,2019,9,269,0.29925599999999986
S2S,2019-11-16,2019,11,320,0.7164320000000002
S2S,2020-06-18,2020,6,170,25.773847999999994
S2S,2020-10-06,2020,10,280,0.043224000000000484
S2S,2022-05-21,2022,5,141,0.8068999999999994
S2S,2022-10-11,2022,10,284,0.4847840000000002
S2S,2023-05-15,2023,5,135,1.4911760000000003
